epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,5066.54,0.75019,0.37393,1.00236,0.90846,0.84523,0.89479,0.64222,0.91813,0.41729,0.93304,0.000614,0.000614,0.000614
30,5232.29,0.74603,0.37213,1.00167,0.92471,0.82894,0.89309,0.64281,0.90965,0.41114,0.93323,0.0005645,0.0005645,0.0005645
31,5392.54,0.69453,0.32646,0.94894,0.93817,0.82161,0.8939,0.64162,0.9191,0.42009,0.93214,0.000515,0.000515,0.000515
32,5552.73,0.69005,0.32316,0.94666,0.93845,0.82555,0.89373,0.6372,0.9221,0.41962,0.93664,0.0004655,0.0004655,0.0004655
33,5718.37,0.68564,0.31727,0.94178,0.93514,0.8221,0.89424,0.64495,0.91354,0.41856,0.93225,0.000416,0.000416,0.000416
34,5882.81,0.68258,0.31645,0.94139,0.91179,0.83698,0.89406,0.64297,0.91914,0.41652,0.93016,0.0003665,0.0003665,0.0003665
35,6063.61,0.67706,0.31223,0.94149,0.93582,0.81984,0.89209,0.64528,0.91267,0.41918,0.92852,0.000317,0.000317,0.000317
36,6236.35,0.68268,0.30968,0.93805,0.93339,0.82559,0.89413,0.64489,0.91122,0.42342,0.92829,0.0002675,0.0002675,0.0002675
37,6407.48,0.68113,0.30824,0.93925,0.93681,0.82223,0.89221,0.64589,0.90947,0.41698,0.92869,0.000218,0.000218,0.000218
38,6575.3,0.67861,0.30792,0.94066,0.9384,0.82367,0.89448,0.64645,0.91035,0.4178,0.9283,0.0001685,0.0001685,0.0001685
39,6736.97,0.66828,0.29971,0.93413,0.92567,0.83134,0.89396,0.64539,0.91258,0.41551,0.92945,0.000119,0.000119,0.000119
40,6898.89,0.67037,0.29838,0.93698,0.9302,0.82894,0.89697,0.64587,0.90882,0.41108,0.9277,6.95e-05,6.95e-05,6.95e-05
