epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.138,0.79456,0.39892,1.02156,0.93075,0.81265,0.87851,0.63047,0.92624,0.4361,0.9361,0.00066512,0.00066512,0.00066512
2,402.738,0.80828,0.42349,1.02579,0.94235,0.79828,0.87038,0.62114,0.97198,0.46013,0.94222,0.00129882,0.00129882,0.00129882
3,580.897,0.81739,0.43602,1.03105,0.91575,0.81313,0.86872,0.61123,0.97643,0.46864,0.95116,0.00189953,0.00189953,0.00189953
4,801.55,0.81886,0.43654,1.03058,0.93898,0.79636,0.87811,0.62154,0.95452,0.46105,0.94671,0.0018515,0.0018515,0.0018515
5,977.459,0.81868,0.43656,1.02559,0.92642,0.81744,0.88314,0.61973,0.96139,0.46736,0.94926,0.001802,0.001802,0.001802
6,1148.94,0.81195,0.43105,1.02569,0.91541,0.81929,0.87922,0.61945,0.9497,0.46286,0.94986,0.0017525,0.0017525,0.0017525
7,1323.31,0.80294,0.42441,1.02546,0.94318,0.80259,0.88055,0.62571,0.96176,0.46109,0.95091,0.001703,0.001703,0.001703
8,1497.01,0.80951,0.42711,1.02094,0.94455,0.80882,0.88019,0.62183,0.94018,0.45874,0.94679,0.0016535,0.0016535,0.0016535
9,1669.14,0.79751,0.42198,1.0211,0.93668,0.80211,0.87882,0.61625,0.9642,0.46154,0.9517,0.001604,0.001604,0.001604
10,1839.87,0.80901,0.42546,1.02789,0.93547,0.80498,0.88044,0.62201,0.94476,0.45885,0.95151,0.0015545,0.0015545,0.0015545
11,2009.38,0.8061,0.42006,1.02188,0.93782,0.81505,0.8765,0.6167,0.95485,0.46434,0.94559,0.001505,0.001505,0.001505
12,2181.05,0.80419,0.41898,1.01857,0.93555,0.8184,0.88073,0.62022,0.94981,0.44644,0.94868,0.0014555,0.0014555,0.0014555
13,2350.4,0.78775,0.41052,1.01571,0.9344,0.80738,0.88427,0.62402,0.93993,0.45528,0.94463,0.001406,0.001406,0.001406
14,2522.64,0.79397,0.41191,1.01678,0.92092,0.82175,0.88825,0.63085,0.95588,0.43867,0.94876,0.0013565,0.0013565,0.0013565
15,2695.98,0.78238,0.41188,1.01867,0.93501,0.80655,0.8838,0.6297,0.93566,0.45097,0.93636,0.001307,0.001307,0.001307
16,2869.51,0.78475,0.40655,1.01205,0.92935,0.82574,0.8883,0.63327,0.91884,0.44374,0.93357,0.0012575,0.0012575,0.0012575
17,3039.01,0.78499,0.4028,1.01702,0.92533,0.82127,0.88652,0.63227,0.92901,0.43718,0.93717,0.001208,0.001208,0.001208
18,3204.69,0.7745,0.40288,1.00713,0.9191,0.82271,0.88681,0.63367,0.92881,0.44285,0.93729,0.0011585,0.0011585,0.0011585
19,3371.71,0.77268,0.39944,1.00814,0.93614,0.81474,0.88847,0.631,0.93445,0.43565,0.94479,0.001109,0.001109,0.001109
20,3538.26,0.76785,0.39594,1.00849,0.92542,0.82047,0.88441,0.63,0.9337,0.42946,0.93904,0.0010595,0.0010595,0.0010595
21,3709.86,0.77604,0.39579,1.00553,0.92759,0.8164,0.88933,0.63833,0.9231,0.43256,0.93576,0.00101,0.00101,0.00101
22,3881.84,0.76548,0.38983,1.00492,0.94489,0.81331,0.88761,0.63129,0.92643,0.42648,0.93712,0.0009605,0.0009605,0.0009605
23,4051.89,0.77257,0.3941,1.00715,0.94314,0.81074,0.88441,0.63649,0.91937,0.43033,0.93221,0.000911,0.000911,0.000911
24,4221.15,0.76269,0.38614,1.00542,0.92715,0.82328,0.88838,0.63909,0.90934,0.42186,0.93361,0.0008615,0.0008615,0.0008615
25,4389.28,0.7574,0.38236,1.00048,0.93007,0.82841,0.89259,0.63894,0.91212,0.4242,0.93144,0.000812,0.000812,0.000812
26,4559.55,0.76483,0.38187,1.00593,0.93215,0.82938,0.88988,0.63658,0.92189,0.42835,0.93783,0.0007625,0.0007625,0.0007625
27,4727.08,0.75098,0.3788,1.00138,0.93336,0.82127,0.89096,0.63946,0.91699,0.42069,0.93419,0.000713,0.000713,0.000713
28,4897.55,0.74812,0.37415,1.00571,0.91846,0.8312,0.88983,0.64242,0.90709,0.41335,0.93125,0.0006635,0.0006635,0.0006635
