epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.603,1.00376,0.58929,1.15676,0.92765,0.79776,0.86441,0.54616,1.15332,0.57204,1.05988,0.000997653,0.000997653,0.000997653
2,407.189,1.02369,0.60124,1.15412,0.8956,0.76972,0.82686,0.50868,1.21667,0.62366,1.10594,0.0019581,0.0019581,0.0019581
3,604.285,1.04782,0.60763,1.16132,0.90877,0.74228,0.82704,0.51576,1.23919,0.64706,1.06592,0.0019208,0.0019208,0.0019208
4,802.892,1.02442,0.5845,1.13938,0.91092,0.78162,0.83898,0.49619,1.33833,0.62446,1.10812,0.0018812,0.0018812,0.0018812
5,1000.99,1.01341,0.5767,1.14317,0.91572,0.77119,0.83689,0.53602,1.20495,0.6325,1.06313,0.0018416,0.0018416,0.0018416
6,1198.36,0.99878,0.56321,1.13127,0.92793,0.76329,0.83649,0.5411,1.16643,0.57815,1.06078,0.001802,0.001802,0.001802
7,1395.84,0.98753,0.55261,1.12269,0.91867,0.78785,0.84055,0.56076,1.10979,0.55869,1.01855,0.0017624,0.0017624,0.0017624
8,1593.96,0.98345,0.54959,1.11818,0.90442,0.78344,0.84221,0.54974,1.1293,0.55086,1.03238,0.0017228,0.0017228,0.0017228
9,1791.9,0.95454,0.52662,1.10668,0.92716,0.7854,0.85562,0.56636,1.11338,0.56659,1.01737,0.0016832,0.0016832,0.0016832
10,1993.12,0.9451,0.51763,1.10394,0.93127,0.78996,0.85679,0.56842,1.0836,0.54304,1.02168,0.0016436,0.0016436,0.0016436
11,2192.38,0.9504,0.52367,1.10208,0.91062,0.79471,0.85548,0.55104,1.16005,0.55002,1.04165,0.001604,0.001604,0.001604
12,2393.93,0.937,0.50851,1.09075,0.9367,0.78736,0.86255,0.56241,1.13588,0.54547,1.02106,0.0015644,0.0015644,0.0015644
13,2638.31,0.93663,0.50557,1.09476,0.91496,0.7903,0.85878,0.5837,1.06571,0.51923,0.99456,0.0015248,0.0015248,0.0015248
14,2842.33,0.93068,0.499,1.08698,0.93264,0.77329,0.85047,0.57506,1.09111,0.51592,1.00426,0.0014852,0.0014852,0.0014852
15,3040.87,0.91323,0.49098,1.07957,0.92896,0.81088,0.87185,0.58762,1.05332,0.50526,1.01511,0.0014456,0.0014456,0.0014456
16,3239.55,0.90788,0.48088,1.08299,0.92196,0.80794,0.87501,0.58511,1.06887,0.50051,1.00137,0.001406,0.001406,0.001406
17,3438.55,0.90208,0.47469,1.07708,0.92581,0.8001,0.86778,0.58281,1.07816,0.50734,1.0292,0.0013664,0.0013664,0.0013664
18,3637.25,0.89931,0.47287,1.0735,0.92354,0.80206,0.86379,0.57536,1.09435,0.50892,1.01776,0.0013268,0.0013268,0.0013268
19,3836.18,0.89067,0.46789,1.07102,0.93512,0.80843,0.87951,0.59918,1.0331,0.48356,0.98942,0.0012872,0.0012872,0.0012872
20,4035.14,0.88296,0.46139,1.06463,0.92685,0.80745,0.87751,0.60031,1.03336,0.49854,0.98771,0.0012476,0.0012476,0.0012476
21,4233.96,0.87614,0.45398,1.06314,0.92993,0.79981,0.87376,0.60026,1.01592,0.49873,0.98257,0.001208,0.001208,0.001208
22,4433.31,0.87289,0.44971,1.05659,0.92876,0.80892,0.87522,0.60617,1.00648,0.47885,0.98682,0.0011684,0.0011684,0.0011684
23,4632.15,0.86269,0.44803,1.05643,0.93775,0.81333,0.88654,0.6157,0.98132,0.48496,0.97762,0.0011288,0.0011288,0.0011288
24,4830.97,0.85318,0.44074,1.05206,0.94094,0.82264,0.88921,0.61071,1.00143,0.46631,0.97468,0.0010892,0.0010892,0.0010892
25,5029.64,0.86169,0.43963,1.05078,0.9112,0.83635,0.89267,0.62187,0.97222,0.46757,0.9689,0.0010496,0.0010496,0.0010496
26,5230.52,0.85108,0.43369,1.0447,0.92734,0.82754,0.89144,0.61935,1.00738,0.46413,0.97558,0.00101,0.00101,0.00101
27,5429.55,0.83008,0.42432,1.03697,0.93058,0.82092,0.89011,0.62027,0.98283,0.45361,0.96958,0.0009704,0.0009704,0.0009704
28,5627.99,0.82936,0.41949,1.03542,0.93348,0.82502,0.89154,0.62285,0.96791,0.44794,0.96125,0.0009308,0.0009308,0.0009308
29,5826.76,0.82476,0.42266,1.02987,0.94003,0.82181,0.89338,0.62613,0.9802,0.45473,0.9677,0.0008912,0.0008912,0.0008912
30,6025.43,0.8261,0.41419,1.03335,0.92602,0.82791,0.8905,0.62873,0.96042,0.44471,0.958,0.0008516,0.0008516,0.0008516
31,6224.2,0.82119,0.41511,1.03202,0.91674,0.8416,0.89752,0.63544,0.95159,0.44892,0.96443,0.000812,0.000812,0.000812
32,6423.28,0.81506,0.411,1.03167,0.93338,0.82901,0.89442,0.6361,0.94225,0.44476,0.95602,0.0007724,0.0007724,0.0007724
33,6622.13,0.80888,0.40422,1.01859,0.92845,0.83684,0.897,0.63255,0.95588,0.43778,0.95216,0.0007328,0.0007328,0.0007328
34,6821.08,0.79579,0.39914,1.02082,0.93802,0.83244,0.89968,0.64418,0.93267,0.43539,0.9456,0.0006932,0.0006932,0.0006932
35,7020.16,0.80608,0.40125,1.02233,0.93821,0.8407,0.90025,0.64291,0.93762,0.44039,0.9491,0.0006536,0.0006536,0.0006536
36,7218.92,0.79034,0.39697,1.0164,0.95404,0.81529,0.89929,0.64167,0.93315,0.43921,0.9471,0.000614,0.000614,0.000614
37,7418.05,0.7822,0.38916,1.0143,0.92958,0.83488,0.8971,0.64204,0.92212,0.42559,0.94178,0.0005744,0.0005744,0.0005744
38,7616.75,0.77657,0.3886,1.00999,0.92413,0.84713,0.90033,0.64865,0.93034,0.42571,0.93861,0.0005348,0.0005348,0.0005348
39,7815.6,0.77266,0.38428,1.00627,0.93763,0.83962,0.90097,0.64918,0.91608,0.42556,0.94126,0.0004952,0.0004952,0.0004952
40,8014.29,0.76902,0.38006,1.00482,0.93279,0.83641,0.90083,0.64556,0.92973,0.42387,0.94499,0.0004556,0.0004556,0.0004556
41,8206.28,0.74401,0.34257,0.96087,0.94299,0.82803,0.90307,0.64521,0.92157,0.4301,0.94107,0.000416,0.000416,0.000416
42,8398.45,0.73106,0.33415,0.95764,0.94341,0.82607,0.89995,0.65062,0.91412,0.42595,0.94115,0.0003764,0.0003764,0.0003764
43,8604.13,0.71727,0.32718,0.94808,0.93287,0.83978,0.9012,0.64606,0.92741,0.42546,0.93801,0.0003368,0.0003368,0.0003368
44,8831.04,0.71227,0.32168,0.9446,0.9395,0.83686,0.90106,0.65297,0.90618,0.42189,0.93782,0.0002972,0.0002972,0.0002972
45,9022.71,0.70054,0.31796,0.9389,0.93544,0.83772,0.90318,0.65797,0.89642,0.41458,0.92739,0.0002576,0.0002576,0.0002576
46,9214.92,0.69458,0.31564,0.93445,0.93219,0.842,0.90564,0.65988,0.89235,0.41171,0.92937,0.000218,0.000218,0.000218
47,9407.06,0.68574,0.30925,0.9355,0.93894,0.84419,0.90679,0.65773,0.89349,0.41411,0.92707,0.0001784,0.0001784,0.0001784
48,9599.08,0.68549,0.30596,0.93256,0.93823,0.8484,0.90739,0.65883,0.89362,0.40774,0.92968,0.0001388,0.0001388,0.0001388
